persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Self Demanding,negative,medium,0.3360474,0.014629817,3.0244267,0.8129467
Threat Aware,negative,medium,0.1594092,0.0032606302,1.4346827,0.97436404
Emotionally Balanced,balanced,medium,0.16364636,0.003362635,1.4728172,0.9524554
Empathy Driven,balanced,medium,0.35101655,0.015471992,3.159149,0.6808769
Socially Sensitive,balanced,medium,0.2866595,0.010704153,2.5799356,0.8621408
Cautious Processor,balanced,medium,0.20341927,0.00536603,1.8307735,0.92540973
Stoic Regulator,suppressive,low,0.16249652,0.0021317285,1.1374756,0.9513876
Calm Reflective,suppressive,low,0.17432038,0.0024824948,1.2202427,0.9417706
Detached Observer,suppressive,low,0.13305071,0.0014252638,0.931355,0.9663441
Rational Analyzer,suppressive,low,0.10174732,0.0008427353,0.7122312,0.97745186
Emotionally Volatile,reactive,high,0.08466704,0.000528635,0.5926693,0.110290706
Highly Sensitive,reactive,high,0.30912182,0.0078115663,2.1638527,0.43941545
Easily Overwhelmed,reactive,high,0.02944502,4.1444713e-05,0.20611514,0.026550476
Impulsive Reactor,reactive,high,0.2971643,0.007224365,2.0801501,0.4433067
Optimistic Interpreter,positive,medium,0.12949611,0.0013799834,0.9064728,0.9865302
Gratitude Focused,positive,medium,0.29104576,0.006994846,2.0373204,0.8955416
Hope Oriented,positive,medium,0.21171162,0.003628747,1.4819813,0.96155053
Reward Seeker,positive,medium,0.42602167,0.015044791,2.9821517,0.7574722
Negative Anticipator,negative,medium,0.14442097,0.0017191602,1.0109468,0.98216563
Critical Evaluator,negative,medium,0.34919253,0.010131619,2.4443476,0.8635934
Self Demanding,negative,medium,0.38788405,0.01250365,2.7151883,0.8129467
Threat Aware,negative,medium,0.17127453,0.002412201,1.1989217,0.97436404
Emotionally Balanced,balanced,medium,0.16962121,0.0023083435,1.1873485,0.9524554
Empathy Driven,balanced,medium,0.43312714,0.015492901,3.03189,0.6808769
Socially Sensitive,balanced,medium,0.3191058,0.008464931,2.2337406,0.8621408
Cautious Processor,balanced,medium,0.21421424,0.0037756194,1.4994997,0.92540973
Stoic Regulator,suppressive,low,0.157516,0.0031459597,1.417644,0.9513876
Calm Reflective,suppressive,low,0.16825522,0.0036456245,1.514297,0.9417706
Detached Observer,suppressive,low,0.12829344,0.0020602217,1.1546409,0.9663441
Rational Analyzer,suppressive,low,0.0970967,0.001194581,0.87387025,0.97745186
Emotionally Volatile,reactive,high,0.06845514,0.00043527462,0.61609626,0.110290706
Highly Sensitive,reactive,high,0.24191706,0.0068404595,2.1772535,0.43941545
Easily Overwhelmed,reactive,high,0.02432539,3.336447e-05,0.2189285,0.026550476
Impulsive Reactor,reactive,high,0.2326093,0.006334019,2.0934837,0.4433067
Optimistic Interpreter,positive,medium,0.12587334,0.002053734,1.1328601,0.9865302
Gratitude Focused,positive,medium,0.26931822,0.009429724,2.4238641,0.8955416
Hope Oriented,positive,medium,0.19726217,0.004849164,1.7753595,0.96155053
Reward Seeker,positive,medium,0.35756052,0.016392615,3.2180445,0.7574722
Negative Anticipator,negative,medium,0.13712169,0.002438522,1.2340952,0.98216563
Critical Evaluator,negative,medium,0.314461,0.012891877,2.830149,0.8635934
Self Demanding,negative,medium,0.33658642,0.014685803,3.0292778,0.8129467
Threat Aware,negative,medium,0.1595525,0.00326784,1.4359725,0.97436404
Emotionally Balanced,balanced,medium,0.16387895,0.0033737733,1.4749105,0.9524554
Empathy Driven,balanced,medium,0.35156047,0.015534313,3.1640441,0.6808769
Socially Sensitive,balanced,medium,0.28713542,0.010745538,2.5842187,0.8621408
Cautious Processor,balanced,medium,0.20374198,0.0053854557,1.8336779,0.92540973
Stoic Regulator,suppressive,low,0.15737705,0.0031440058,1.4163934,0.9513876
Calm Reflective,suppressive,low,0.16810918,0.0036439705,1.5129826,0.9417706
Detached Observer,suppressive,low,0.12818125,0.002058653,1.1536312,0.9663441
Rational Analyzer,suppressive,low,0.09701416,0.0011935825,0.8731274,0.97745186
