persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Socially Sensitive,balanced,medium,0.28593877,0.0106644,2.573449,0.8621408
Cautious Processor,balanced,medium,0.20284107,0.0053409385,1.8255696,0.92540973
Stoic Regulator,suppressive,low,0.15704837,0.0031287335,1.4134353,0.9513876
Calm Reflective,suppressive,low,0.16774131,0.0036257438,1.5096718,0.9417706
Detached Observer,suppressive,low,0.12793024,0.0020489998,1.1513722,0.9663441
Rational Analyzer,suppressive,low,0.09683476,0.0011882791,0.87151283,0.97745186
Emotionally Volatile,reactive,high,0.06962622,0.00040199806,0.62663597,0.110290706
Highly Sensitive,reactive,high,0.24146748,0.0067658965,2.1732073,0.43941545
Easily Overwhelmed,reactive,high,0.029996028,2.5216472e-05,0.26996425,0.026550476
Impulsive Reactor,reactive,high,0.23213471,0.006263498,2.0892124,0.4433067
Optimistic Interpreter,positive,medium,0.12564614,0.0020461683,1.1308153,0.9865302
Gratitude Focused,positive,medium,0.26857647,0.009385638,2.4171882,0.8955416
